2021-08-06 08:39:51,021-INFO:start training on dataset user:4442, item:5351, project:200
2021-08-06 08:55:26,720-WARNING:method level => top 20 : best suc 0.588571, best pre 0.051714,  best recall 0.144227
2021-08-06 08:55:26,720-WARNING:project level => top 20 : best suc 0.572846, best pre 0.050426,  best recall 0.141346
2021-08-06 08:55:26,730-INFO:MAP: 0.053657
2021-08-06 09:03:26,351-INFO:test start. test set size: 175
2021-08-06 09:03:26,434-INFO:test end time: 0.08211374282836914s
2021-08-06 09:03:26,438-WARNING:method level => top 1 : best suc 0.182857, best pre 0.182857,  best recall 0.027787
2021-08-06 09:03:26,438-WARNING:project level => top 1 : best suc 0.168415, best pre 0.168415,  best recall 0.024392
2021-08-06 09:03:26,442-WARNING:method level => top 2 : best suc 0.222857, best pre 0.111429,  best recall 0.037841
2021-08-06 09:03:26,442-WARNING:project level => top 2 : best suc 0.201519, best pre 0.107349,  best recall 0.030543
2021-08-06 09:03:26,445-WARNING:method level => top 3 : best suc 0.354286, best pre 0.139048,  best recall 0.059827
2021-08-06 09:03:26,445-WARNING:project level => top 3 : best suc 0.340690, best pre 0.123679,  best recall 0.053901
2021-08-06 09:03:26,448-WARNING:method level => top 4 : best suc 0.388571, best pre 0.122857,  best recall 0.069457
2021-08-06 09:03:26,448-WARNING:project level => top 4 : best suc 0.376028, best pre 0.107359,  best recall 0.060280
2021-08-06 09:03:26,452-WARNING:method level => top 5 : best suc 0.440000, best pre 0.105143,  best recall 0.074696
2021-08-06 09:03:26,452-WARNING:project level => top 5 : best suc 0.411220, best pre 0.093677,  best recall 0.066535
2021-08-06 09:03:26,455-WARNING:method level => top 6 : best suc 0.445714, best pre 0.095238,  best recall 0.082750
2021-08-06 09:03:26,455-WARNING:project level => top 6 : best suc 0.413413, best pre 0.083077,  best recall 0.071036
2021-08-06 09:03:26,458-WARNING:method level => top 7 : best suc 0.451429, best pre 0.086531,  best recall 0.086428
2021-08-06 09:03:26,458-WARNING:project level => top 7 : best suc 0.415606, best pre 0.076445,  best recall 0.074304
2021-08-06 09:03:26,462-WARNING:method level => top 8 : best suc 0.457143, best pre 0.080714,  best recall 0.091617
2021-08-06 09:03:26,462-WARNING:project level => top 8 : best suc 0.425154, best pre 0.073317,  best recall 0.081783
2021-08-06 09:03:26,465-WARNING:method level => top 9 : best suc 0.480000, best pre 0.073651,  best recall 0.095617
2021-08-06 09:03:26,465-WARNING:project level => top 9 : best suc 0.445141, best pre 0.067375,  best recall 0.086555
2021-08-06 09:03:26,468-WARNING:method level => top 10 : best suc 0.491429, best pre 0.072000,  best recall 0.101857
2021-08-06 09:03:26,468-WARNING:project level => top 10 : best suc 0.475267, best pre 0.067156,  best recall 0.094556
2021-08-06 09:03:26,471-WARNING:method level => top 11 : best suc 0.514286, best pre 0.068571,  best recall 0.106144
2021-08-06 09:03:26,471-WARNING:project level => top 11 : best suc 0.507003, best pre 0.064995,  best recall 0.100514
2021-08-06 09:03:26,474-WARNING:method level => top 12 : best suc 0.525714, best pre 0.066667,  best recall 0.112675
2021-08-06 09:03:26,474-WARNING:project level => top 12 : best suc 0.518168, best pre 0.061915,  best recall 0.104006
2021-08-06 09:03:26,477-WARNING:method level => top 13 : best suc 0.531429, best pre 0.064176,  best recall 0.119103
2021-08-06 09:03:26,477-WARNING:project level => top 13 : best suc 0.518168, best pre 0.060028,  best recall 0.110470
2021-08-06 09:03:26,480-WARNING:method level => top 14 : best suc 0.548571, best pre 0.062041,  best recall 0.123200
2021-08-06 09:03:26,480-WARNING:project level => top 14 : best suc 0.534469, best pre 0.058787,  best recall 0.114364
2021-08-06 09:03:26,483-WARNING:method level => top 15 : best suc 0.565714, best pre 0.062095,  best recall 0.130832
2021-08-06 09:03:26,483-WARNING:project level => top 15 : best suc 0.544337, best pre 0.057905,  best recall 0.121667
2021-08-06 09:03:26,486-WARNING:method level => top 16 : best suc 0.582857, best pre 0.059286,  best recall 0.132413
2021-08-06 09:03:26,486-WARNING:project level => top 16 : best suc 0.570653, best pre 0.055038,  best recall 0.122819
2021-08-06 09:03:26,489-WARNING:method level => top 17 : best suc 0.582857, best pre 0.057143,  best recall 0.137366
2021-08-06 09:03:26,489-WARNING:project level => top 17 : best suc 0.570653, best pre 0.054811,  best recall 0.133272
2021-08-06 09:03:26,492-WARNING:method level => top 18 : best suc 0.588571, best pre 0.055873,  best recall 0.142007
2021-08-06 09:03:26,492-WARNING:project level => top 18 : best suc 0.572846, best pre 0.054384,  best recall 0.139049
2021-08-06 09:03:26,494-WARNING:method level => top 19 : best suc 0.588571, best pre 0.053534,  best recall 0.142855
2021-08-06 09:03:26,495-WARNING:project level => top 19 : best suc 0.575185, best pre 0.052445,  best recall 0.140350
2021-08-06 09:03:26,497-WARNING:method level => top 20 : best suc 0.588571, best pre 0.051714,  best recall 0.144227
